,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
0,1.0,You People,https://www.imdb.com/title/tt14826022/,2023,Comedy,Kenya Barris,5.5,"['Jonah Hill' 'Lauren London' 'Eddie Murphy' 'Julia Louis-Dreyfus'
 'Sam Jay' 'Nia Long' 'Travis Bennett' 'David Duchovny' 'Molly Gordon'
 'Deon Cole' 'Andrea Savage' 'Elliott Gould' 'Rhea Perlman' 'Mike Epps'
 'La La Anthony' 'Yung Miami' 'Khadijah Haqq' 'Bryan Greenberg']"
1,2.0,Babylon,https://www.imdb.com/title/tt10640346/,2022,Comedy,Damien Chazelle,7.4,"['Brad Pitt' 'Margot Robbie' 'Jean Smart' 'Olivia Wilde' 'J.C. Currais'
 'Diego Calva' 'Jimmy Ortega' 'Marcos A. Ferraez' 'Shane Powers'
 'Phoebe Tonkin' 'Troy Metcalf' 'Jovan Adepo' 'Hansford Prince'
 'Telvin Griffin' 'Cutty Cuthbert' 'Albert Hammond Jr.' 'Flea'
 'Bregje Heinen']"
2,3.0,Black Panther: Wakanda Forever,https://www.imdb.com/title/tt9114286/,2022,Action,Ryan Coogler,6.9,"['Letitia Wright' ""Lupita Nyong'o"" 'Danai Gurira' 'Winston Duke'
 'Angela Bassett' 'Tenoch Huerta' 'Martin Freeman' 'Julia Louis-Dreyfus'
 'Dominique Thorne' 'Florence Kasumba' 'Michaela Coel' 'Alex Livinalli'
 'Mabel Cadena' 'Michael B. Jordan' 'Isaach De Bankole' 'Danny Sapani'
 'Dorothy Steel' 'Zainab Jah']"
3,4.0,Avatar: The Way of Water,https://www.imdb.com/title/tt1630029/,2022,Action,James Cameron,7.8,"['Sam Worthington' 'Zoe Saldana' 'Sigourney Weaver' 'Stephen Lang'
 'Kate Winslet' 'Cliff Curtis' 'Joel David Moore' 'CCH Pounder'
 'Edie Falco' 'Brendan Cowell' 'Jemaine Clement' 'Jamie Flatters'
 'Britain Dalton' 'Trinity Jo-Li Bliss' 'Jack Champion' 'Bailey Bass'
 'Filip Geljo' 'Duane Evans Jr.']"
4,5.0,The Menu,https://www.imdb.com/title/tt9764362/,2022,Horror,Mark Mylod,7.2,"['Ralph Fiennes' 'Anya Taylor-Joy' 'Nicholas Hoult' 'Hong Chau'
 'Janet McTeer' 'Paul Adelstein' 'John Leguizamo' 'Aimee Carrero'
 'Reed Birney' 'Judith Light' 'Rebecca Koon' 'Rob Yang' 'Arturo Castro'
 'Mark St. Cyr' 'Peter Grosz' 'Christina Brucato' 'Adam Aalderks'
 'Jon Paul Allyn']"
5,6.0,Shotgun Wedding,https://www.imdb.com/title/tt9686790/,2022,Action,Jason Moore,5.5,"['Jennifer Lopez' 'Josh Duhamel' 'Lenny Kravitz' 'Jennifer Coolidge'
 'Sonia Braga' 'Cheech Marin' 'Steve Coulter' ""D'Arcy Carden""
 'Callie Hernandez' 'Desmin Borges' 'Selena Tan' 'Alberto Isaac'
 'Melissa Hunter' 'Pancho Cardena' 'Alex Mallari Jr.' 'Tharoth Sam'
 'Worapojd Thautanon' 'Zachary Wood']"
6,7.0,The Banshees of Inisherin,https://www.imdb.com/title/tt11813216/,2022,Comedy,Martin McDonagh,7.8,"['Colin Farrell' 'Brendan Gleeson' 'Kerry Condon' 'Pat Shortt'
 'Gary Lydon' 'Jon Kenny' 'Barry Keoghan' 'Sheila Flitton' 'John Carty'
 'Oliver Farrelly' 'Lasairfhiona Ni Chonaola' 'David Pearse'
 'Brid Ni Neachtain' 'Aaron Monaghan' 'James Carty' 'Conor Connolly'
 'Ryan Owens' 'Jenny']"
7,8.0,The Banshees of Inisherin,https://www.imdb.com/title/tt6710474/,2022,Comedy,Martin McDonagh,7.8,"['Colin Farrell' 'Brendan Gleeson' 'Kerry Condon' 'Pat Shortt'
 'Gary Lydon' 'Jon Kenny' 'Barry Keoghan' 'Sheila Flitton' 'John Carty'
 'Oliver Farrelly' 'Lasairfhiona Ni Chonaola' 'David Pearse'
 'Brid Ni Neachtain' 'Aaron Monaghan' 'James Carty' 'Conor Connolly'
 'Ryan Owens' 'Jenny']"
8,9.0,Knock at the Cabin,https://www.imdb.com/title/tt15679400/,2023,Horror,M. Night Shyamalan,6.4,"['Dave Bautista' 'Jonathan Groff' 'Rupert Grint' 'Nikki Amuka-Bird'
 'Ben Aldridge' 'Abby Quinn' 'Kristen Cui' 'McKenna Kerrigan'
 'Ian Merrill Peakes' 'Denise Nakano' 'Rose Luardo' 'Billy Vargus'
 'Satomi Hofmann' 'Kevin Leung' 'Lee Avant' 'Odera Adimorah' 'Kat Murphy'
 ""Kittson O'Neill""]"
9,10.0,M3gan,https://www.imdb.com/title/tt8760708/,2022,Horror,Gerard Johnstone,6.4,"['Allison Williams' 'Violet McGraw' 'Ronny Chieng' 'Amie Donald'
 'Jenna Davis' 'Brian Jordan Alvarez' 'Jen Van Epps'
 'Stephane Garneau-Monten' 'Lori Dungey' 'Amy Usherwood' 'Jack Cassidy'
 'Michael Saccente' 'Samson Chan-Boon' 'Kira Josephson' 'Renee Lyons'
 'Millen Baird' 'Chelsie Florence' 'Arlo Green']"
