,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
0,1.0,The Last of Us,https://www.imdb.com/title/tt3581920/,2023– ,Action,Neil Druckmann,9.2,"['Pedro Pascal' 'Bella Ramsey' 'Gabriel Luna' 'Anna Torv'
 'Merle Dandridge' 'Melanie Lynskey' 'Lamar Johnson' 'Keivonn Woodard'
 'Jeffrey Pierce' 'Phillip A. Kovats' 'Nico Parker' 'Nick Offerman'
 'John Hannah' 'Christine Hakim' 'Murray Bartlett' 'Yayu A.W. Unru'
 'Josh Brener' 'Kevin Sateri']"
1,2.0,Poker Face,https://www.imdb.com/title/tt14269590/,2023– ,Crime,Rian Johnson,8.2,"['Natasha Lyonne' 'Benjamin Bratt' 'Elijah George' 'Robert Loftus'
 'Simon Helberg' 'Brandon Micheal Hall' 'Pedro Hollywood' 'Teren Carter'
 'Sprague Theobald' 'Elsa Kennedy' 'Tim Miller' 'Hong Chau'
 'Chloe Sevigny' 'Adrien Brody' 'Judith Light' 'Joseph Gordon-Levitt'
 'Ron Perlman' 'Ellen Barkin']"
2,3.0,The White Lotus,https://www.imdb.com/title/tt13406094/,2021–2023,Comedy,Mike White,7.9,"['Jennifer Coolidge' 'Jon Gries' 'F. Murray Abraham' 'Adam DiMarco'
 'Meghann Fahy' 'Beatrice Granno' 'Tom Hollander' 'Sabrina Impacciatore'
 'Michael Imperioli' 'Theo James' 'Aubrey Plaza' 'Haley Lu Richardson'
 'Will Sharpe' 'Simona Tabasco' 'Leo Woodall' 'Eleonora Romandini'
 'Murray Bartlett' 'Connie Britton']"
3,4.0,Lockwood & Co.,https://www.imdb.com/title/tt13802576/,2023– ,Action,Ruby Stokes,7.5,"['Ruby Stokes' 'Cameron Chapman' 'Ali Hadji-Heshmati' 'Ivanno Jeremiah'
 'Jack Bandeira' 'Rhianna Dorris' 'Paddy Holland' 'Bronwyn James'
 'Morven Christie' 'Hayley Konadu' 'Rico Vina' 'Louise Brealey'
 'Jemma Moore' 'Ishtar Currie-Wilson' 'Michael Clarke' 'Luke Treadaway'
 'Jeff Rawle' 'Ben Crompton']"
4,5.0,Yellowstone,https://www.imdb.com/title/tt4236770/,2018–2023,Drama,John Linson,8.7,"['Kevin Costner' 'Luke Grimes' 'Kelly Reilly' 'Wes Bentley' 'Cole Hauser'
 'Kelsey Asbille' 'Brecken Merrill' 'Jefferson White' 'Gil Birmingham'
 'Forrie J. Smith' 'Denim Richards' 'Ian Bohen' 'Mo Brings Plenty'
 'Jake Ream' 'Ryan Bingham' 'Jen Landon' 'Wendy Moniz' 'Ethan Lee']"
5,6.0,Shrinking,https://www.imdb.com/title/tt15677150/,2023– ,Comedy,Brett Goldstein,7.7,"['Jason Segel' 'Jessica Williams' 'Harrison Ford' 'Luke Tennie'
 'Michael Urie' 'Lukita Maxwell' 'Christa Miller' 'Ted McGinley'
 'Devin Kawaoka' 'Heidi Gardner' 'Tilky Jones' 'Lilan Bowden'
 'Rachel Stubington' 'Kimberly Condict' 'Matt Knudsen'
 'Adam Foster Ballard' 'Asif Ali' 'Mike C. Nelson']"
6,7.0,Wednesday,https://www.imdb.com/title/tt13443470/,2022– ,Comedy,Alfred Gough,8.2,"['Jenna Ortega' 'Hunter Doohan' 'Percy Hynes White' 'Emma Myers'
 'Joy Sunday' 'Georgie Farmer' 'Christina Ricci' 'Victor Dorobantu'
 'Gwendoline Christie' 'Riki Lindhome' 'Jamie McShane' 'Naomi J. Ogawa'
 'Johnna Dias-Watson' 'Oliver Watson' 'Moosa Mostafa'
 'Luyanda Unati Lewis-Nyawo' 'Daniel Himschoot' 'Iman Marson']"
7,8.0,That '90s Show,https://www.imdb.com/title/tt15591076/,2023– ,Comedy,Gregg Mettler,6.4,"['Kurtwood Smith' 'Debra Jo Rupp' 'Callie Haverda' 'Ashley Aufderheide'
 'Mace Coronel' 'Reyn Doi' 'Sam Morelos' 'Maxwell Acee Donovan'
 'Andrea Anders' 'Wilmer Valderrama' 'Laura Prepon' 'Tommy Chong'
 'Olivia Sanabia' 'Topher Grace' 'Don Stark' 'Sanford Hudson' 'Mila Kunis'
 'Brian Austin Green']"
8,9.0,Velma,https://www.imdb.com/title/tt14153790/,2023– ,Animation,Charlie Grandy,1.4,"['Mindy Kaling' 'Glenn Howerton' 'Sam Richardson' 'Constance Wu'
 'Jane Lynch' 'Melissa Fumero' 'Russell Peters' 'Wanda Sykes'
 'Fortune Feimster' 'Yvonne Orji' 'Sarayu Blue' 'Nicole Byer' 'Gary Cole'
 'Kari Wahlgren' 'Frank Welker' 'Andrew Morgado' 'Cherry Jones'
 'Ken Leung']"
9,10.0,The Walking Dead,https://www.imdb.com/title/tt1520211/,2010–2022,Drama,Frank Darabont,8.1,"['Andrew Lincoln' 'Norman Reedus' 'Melissa McBride' 'Lauren Cohan'
 'Christian Serratos' 'Josh McDermitt' 'Danai Gurira' 'Seth Gilliam'
 'Ross Marquand' 'Chandler Riggs' 'Jeffrey Dean Morgan' 'Alanna Masterson'
 'Khary Payton' 'Steven Yeun' 'Cooper Andrews' 'Sonequa Martin-Green'
 'Eleanor Matsuura' 'Nadia Hilker']"
