,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
0,1.0,Planet Earth II,https://www.imdb.com/title/tt5491994/,2016,Documentary,David Attenborough,9.5,"['David Attenborough' 'Chadden Hunter' 'Gordon Buchanan' 'Elizabeth White'
 'Emma Napper' 'Ed Charles' 'Barrie Britton' 'Fredi Devas'
 'Thomas Crowley' 'Toby Nowlan' 'Mark MacEwen' 'Emma Brennand'
 'Max Hug Williams' 'Sandesh Kadur' 'Pete McCowen' 'Rob Drewett'
 'Juarez Sena Feitoza' 'Aaron Durogati']"
1,2.0,Breaking Bad,https://www.imdb.com/title/tt0903747/,2008–2013,Crime,Vince Gilligan,9.5,"['Bryan Cranston' 'Aaron Paul' 'Anna Gunn' 'Betsy Brandt' 'RJ Mitte'
 'Dean Norris' 'Bob Odenkirk' 'Steven Michael Quezada' 'Jonathan Banks'
 'Giancarlo Esposito' 'Charles Baker' 'Jesse Plemons'
 'Christopher Cousins' 'Laura Fraser' 'Matt Jones' 'Michael Shamus Wiles'
 'Lavell Crawford' 'Ray Campbell']"
2,3.0,Planet Earth,https://www.imdb.com/title/tt0795176/,2006,Documentary,Sigourney Weaver,9.4,"['Sigourney Weaver' 'David Attenborough' 'Nikolay Drozdov'
 'Thomas Anguti Johnston' 'Sanae Ueda' 'Huw Cordey' 'Mark Linfield'
 'Doug Allan' 'Paul Stewart' 'Mike Holding' 'Chadden Hunter'
 'Michael Kelem' 'Simon King' 'Jeff Wilson' 'Tania Jenkins'
 'Rick Rosenthal' 'Doug Anderson' 'Justine Evans']"
3,4.0,Band of Brothers,https://www.imdb.com/title/tt0185906/,2001,Drama,Scott Grimes,9.4,"['Scott Grimes' 'Damian Lewis' 'Ron Livingston' 'Shane Taylor'
 'Donnie Wahlberg' 'Peter Youngblood Hills' 'Matthew Leitch'
 'Nicholas Aaron' 'Philip Barantini' 'Michael Cudlitz' 'Dexter Fletcher'
 'Rick Gomez' 'James Madio' 'Ross McCall' 'Doug Allen' 'George Calil'
 'Nolan Hemmings' 'Robin Laing']"
4,5.0,Chernobyl,https://www.imdb.com/title/tt7366338/,2019,Drama,Craig Mazin,9.4,"['Jessie Buckley' 'Jared Harris' 'Stellan Skarsgard' 'Adam Nagaitis'
 'Emily Watson' 'Paul Ritter' 'Robert Emms' 'Sam Troughton' 'Karl Davies'
 'Michael Socha' 'Laura Elphinstone' 'Jan Ricica' 'Adrian Rawlins'
 'Alan Williams' ""Con O'Neill"" 'Douggie McMeekin' 'Nadia Clifford'
 'David Dencik']"
5,6.0,The Wire,https://www.imdb.com/title/tt0306414/,2002–2008,Crime,David Simon,9.3,"['Dominic West' 'Lance Reddick' 'Sonja Sohn' 'Wendell Pierce' 'John Doman'
 'Deirdre Lovejoy' 'Seth Gilliam' 'Domenick Lombardozzi' 'Clarke Peters'
 'Andre Royo' 'Michael Kenneth Williams' 'Jim True-Frost' 'Frankie Faison'
 'Corey Parker Robinson' 'Delaney Williams' 'J.D. Williams' 'Wood Harris'
 'Idris Elba']"
6,7.0,Blue Planet II,https://www.imdb.com/title/tt6769208/,2017,Documentary,David Attenborough,9.3,['David Attenborough' 'Peter Drost' 'Roger Munns' 'Roger Horrocks']
7,8.0,Avatar: The Last Airbender,https://www.imdb.com/title/tt0417299/,2005–2008,Animation,Michael Dante DiMartino,9.3,"['Dee Bradley Baker' 'Zach Tyler Eisen' 'Mae Whitman' 'Jack De Sena'
 'Dante Basco' 'Michaela Jill Murphy' 'Mako' 'Grey Griffin'
 'Andre Sogliuzzo' 'Cricket Leigh' 'Mark Hamill' 'Jennie Kwan'
 'Olivia Hack' 'Greg Baldwin' 'Jim Meskimen' 'James Garrett'
 'Jason Isaacs' 'James Sie']"
8,9.0,Cosmos: A Spacetime Odyssey,https://www.imdb.com/title/tt2395695/,2014,Documentary,Neil deGrasse Tyson,9.3,"['Neil deGrasse Tyson' 'Christopher Emerson' 'Keythe Farley'
 'Piotr Michael' 'Enn Reitel' 'Stoney Emshwiller' 'Andre Sogliuzzo'
 'Amanda Seyfried' 'Kirsten Dunst' 'Phil LaMarr' 'Paul Sorvino'
 'Larry Cedar' 'Christiane Amanpour' 'Seth MacFarlane' 'Fred Tatasciore'
 'Martin Jarvis' 'Glenn Steinbaum' 'Maria Frucci']"
9,10.0,The Sopranos,https://www.imdb.com/title/tt0141842/,1999–2007,Crime,David Chase,9.2,"['James Gandolfini' 'Lorraine Bracco' 'Edie Falco' 'Michael Imperioli'
 'Steven Van Zandt' 'Robert Iler' 'Tony Sirico' 'Jamie-Lynn Sigler'
 'Dominic Chianese' 'Aida Turturro' 'Steve Schirripa' 'Drea de Matteo'
 'Dan Grimaldi' 'Joseph R. Gannascoli' 'Sharon Angela' 'John Ventimiglia'
 'Vincent Curatola' 'Frank Vincent']"
