,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
0,1.0,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,1994,Drama,Frank Darabont,9.3,"['Tim Robbins' 'Morgan Freeman' 'Bob Gunton' 'William Sadler'
 'Clancy Brown' 'Gil Bellows' 'Mark Rolston' 'James Whitmore'
 'Jeffrey DeMunn' 'Larry Brandenburg' 'Neil Giuntoli' 'Brian Libby'
 'David Proval' 'Joseph Ragno' 'Jude Ciccolella' 'Paul McCrane'
 'Renee Blaine' 'Scott Mann']"
1,2.0,The Godfather,https://www.imdb.com/title/tt0068646/,1972,Crime,Francis Ford Coppola,9.2,"['Marlon Brando' 'Al Pacino' 'James Caan' 'Diane Keaton'
 'Richard S. Castellano' 'Robert Duvall' 'Sterling Hayden' 'John Marley'
 'Richard Conte' 'Al Lettieri' 'Abe Vigoda' 'Talia Shire' 'Gianni Russo'
 'John Cazale' 'Rudy Bond' 'Al Martino' 'Morgana King' 'Lenny Montana']"
2,3.0,The Dark Knight,https://www.imdb.com/title/tt0468569/,2008,Action,Christopher Nolan,9.0,"['Christian Bale' 'Heath Ledger' 'Aaron Eckhart' 'Michael Caine'
 'Maggie Gyllenhaal' 'Gary Oldman' 'Morgan Freeman'
 'Monique Gabriela Curnen' 'Ron Dean' 'Cillian Murphy' 'Chin Han'
 'Nestor Carbonell' 'Eric Roberts' 'Ritchie Coster' 'Anthony Michael Hall'
 'Keith Szarabajka' 'Colin McFarlane' 'Joshua Harto']"
3,4.0,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,1974,Crime,Francis Ford Coppola,9.0,"['Al Pacino' 'Robert De Niro' 'Robert Duvall' 'Diane Keaton' 'John Cazale'
 'Talia Shire' 'Lee Strasberg' 'Michael V. Gazzo' 'G.D. Spradlin'
 'Richard Bright' 'Gastone Moschin' 'Tom Rosqui' 'Bruno Kirby'
 'Frank Sivero' 'Francesca De Sapio' 'Morgana King' 'Marianna Hill'
 'Leopoldo Trieste']"
4,5.0,12 Angry Men,https://www.imdb.com/title/tt0050083/,1957,Crime,Sidney Lumet,9.0,"['Henry Fonda' 'Lee J. Cobb' 'Martin Balsam' 'John Fiedler'
 'E.G. Marshall' 'Jack Klugman' 'Edward Binns' 'Jack Warden'
 'Joseph Sweeney' 'Ed Begley' 'George Voskovec' 'Robert Webber'
 'Rudy Bond' 'Tom Gorman' 'James Kelly' 'Billy Nelson' 'John Savoca'
 'Walter Stocker']"
5,6.0,Schindler's List,https://www.imdb.com/title/tt0108052/,1993,Biography,Steven Spielberg,9.0,"['Liam Neeson' 'Ralph Fiennes' 'Ben Kingsley' 'Caroline Goodall'
 'Jonathan Sagall' 'Embeth Davidtz' 'Malgorzata Gebel' 'Shmuel Levy'
 'Mark Ivanir' 'Beatrice Macola' 'Andrzej Seweryn' 'Friedrich von Thun'
 'Krzysztof Luft' 'Harry Nehring' 'Norbert Weisser' 'Adi Nitzan'
 'Michael Schneider' 'Miri Fabian']"
6,7.0,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,2003,Action,Peter Jackson,9.0,"['Elijah Wood' 'Viggo Mortensen' 'Ian McKellen' 'Orlando Bloom'
 'Noel Appleby' 'Ali Astin' 'Sean Astin' 'David Aston' 'John Bach'
 'Sean Bean' 'Cate Blanchett' 'Billy Boyd' 'Sadwyn Brophy'
 'Alistair Browning' 'Marton Csokas' 'Richard Edge' 'Jason Fitch'
 'Bernard Hill']"
7,8.0,Pulp Fiction,https://www.imdb.com/title/tt0110912/,1994,Crime,Quentin Tarantino,8.9,"['John Travolta' 'Uma Thurman' 'Samuel L. Jackson' 'Bruce Willis'
 'Tim Roth' 'Amanda Plummer' 'Laura Lovelace' 'Phil LaMarr' 'Frank Whaley'
 'Burr Steers' 'Ving Rhames' 'Paul Calderon' 'Bronagh Gallagher'
 'Rosanna Arquette' 'Eric Stoltz' 'Jerome Patrick Hoban' 'Michael Gilden'
 'Gary Shorelle']"
8,9.0,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,2001,Action,Peter Jackson,8.8,"['Elijah Wood' 'Ian McKellen' 'Orlando Bloom' 'Sean Bean' 'Alan Howard'
 'Noel Appleby' 'Sean Astin' 'Sala Baker' 'Billy Boyd' 'Andy Serkis'
 'Marton Csokas' 'Viggo Mortensen' 'Megan Edwards' 'Michael Elsworth'
 'Cate Blanchett' 'Mark Ferguson' 'Ian Holm' 'Christopher Lee']"
9,10.0,"Il Buono, Il Brutto, Il Cattivo",https://www.imdb.com/title/tt0060196/,1966,Adventure,Sergio Leone,8.8,"['Clint Eastwood' 'Eli Wallach' 'Lee Van Cleef' 'Aldo Giuffre'
 'Luigi Pistilli' 'Rada Rassimov' 'Enzo Petito' 'Claudio Scarchilli'
 'John Bartha' 'Livio Lorenzon' 'Antonio Casale' 'Sandro Scarchilli'
 'Benito Stefanelli' 'Angelo Novi' 'Antonio Casas' 'Aldo Sambrell'
 'Al Mulock' 'Sergio Mendizabal']"
